"","x"
"1",0.274347260646063
"2",-0.0177434918458972
"3",-0.108925032737064
"4",-0.607783818968688
"5",-0.510191378479501
"6",-0.61306429934125
"7",-0.633592610907429
"8",-0.525696539001884
"9",-0.61498890978365
"10",-0.466732370523269
"11",-0.305180462546411
"12",-0.562229619850407
"13",0.525304172511095
"14",0.389536587321513
"15",0.598021923353949
"16",-0.552087115648893
"17",-0.825459670396252
"18",-0.902704282327838
"19",-0.854661759222973
"20",-0.689161821371472
"21",-0.643511768623583
"22",-0.640685815482928
"23",-0.100331848808134
"24",-0.128765122937701
"25",-0.157863394141636
"26",-0.118954333677729
"27",0.108573706261895
"28",-0.0356994169213299
"29",0.122000192842546
"30",-0.029676503537188
"31",0.0317237742172389
"32",0.155147508424199
"33",-0.0180767920878722
"34",0.00611033964754394
"35",0.0377291540841395
"36",0.034423733821314
"37",-0.0826692044542652
"38",-0.120308569497857
"39",-0.19774621582879
"40",0.102198864072034
"41",0.669226222373046
"42",0.00403879092060517
"43",0.0921508600211059
"44",-0.965207115039421
"45",-0.95440802665318
"46",-0.938900969424022
"47",-0.966017547593359
"48",-0.955361184463938
"49",-0.940206277312749
"50",0.609058202575891
"51",-0.0103216842233446
"52",0.0967393305199664
"53",0.683762046463103
"54",0.0166078634418512
"55",0.0793492718974707
"56",-0.0985870819600584
"57",0.446206727733547
"58",-0.721469908539694
"59",-0.763609232749742
"60",-0.968239871201476
"61",-0.958592816013108
"62",-0.944775940840858
"63",-0.674768951348029
"64",-0.866704392505228
"65",-0.669100243301527
"66",-0.504401651936594
"67",0.542886549905516
"68",-0.580674458607939
"69",0.617818193775729
"70",-0.343618301448707
"71",0.330183502639498
"72",-0.360744984572308
"73",0.408875435293201
"74",-0.428082912307475
"75",0.453367251514286
"76",-0.478049652346497
"77",0.499489809797114
"78",0.17568274446598
"79",-0.108287775463795
"80",0.0848488415988038
"81",0.0789381220355816
"82",0.0079481069090025
"83",-0.00467469823628666
"84",-0.63978102073413
"85",-0.607971599340832
"86",-0.762820240449202
"87",-0.636851832334041
"88",-0.594046436674004
"89",-0.756511705504896
"90",-0.699625727365398
"91",-0.747833595469583
"92",-0.818722317836936
"93",0.616034393890846
"94",0.684870159457075
"95",0.739588241708783
"96",-0.64699127583794
"97",-0.850337515970628
"98",-0.827254361855015
"99",-0.930710203190173
"100",-0.627489707225369
"101",-0.659832855678513
"102",-0.770833756877427
"103",-0.0826069359182658
"104",-0.0878825241379454
"105",-0.127330544548232
"106",-0.108572863267843
"107",0.169659030981525
"108",0.0676044397361048
"109",0.126467828047418
"110",-0.0727178062014458
"111",0.0686944741749914
"112",0.174527859893127
"113",0.3143158162243
"114",-0.0326917241350285
"115",0.0886842849822925
"116",-0.00103868688344055
"117",0.138471148717396
"118",-0.138122992805529
"119",0.00302530439893155
"120",0.0803171281290155
"121",-0.0309824871713436
"122",-0.0747194855994359
"123",0.088357304227173
"124",-0.721192598029789
"125",-0.682653506899942
"126",-0.653665674372188
"127",-0.726484836848539
"128",-0.694534110096304
"129",-0.667209748107764
"130",-0.64548527449658
"131",-0.737977312189729
"132",-0.484188693115124
"133",0.632263659095572
"134",0.734258066662152
"135",0.559247778213168
"136",-0.602748673125558
"137",-0.901636957062326
"138",-0.884235450188455
"139",-0.872984368242422
"140",-0.729225040963895
"141",-0.717202660698654
"142",-0.720239479300788
"143",-0.144916600805163
"144",-0.0992485937860931
"145",-0.0632542895391766
"146",-0.222861867348975
"147",0.147739198267393
"148",0.128497150520195
"149",-0.0803058186736978
"150",-0.204786157644309
"151",0.169678404244605
"152",-0.0424613426990677
"153",0.141698297542868
"154",-0.085098503172116
"155",0.0667301860927464
"156",-0.00792375249314584
"157",0.146419131220679
"158",-0.169335663346868
"159",0.0143461720708445
"160",-0.105693035967995
"161",-0.0967092754729682
"162",-0.0423181079782632
"163",-0.0548303497968374
"164",-0.731348533131935
"165",-0.786062320321895
"166",-0.739932395222129
"167",-0.730002664153494
"168",-0.796578518731355
"169",-0.746637006996126
"170",-0.747265427689844
"171",-0.809908325963061
"172",-0.742689151304914
"173",0.760591617745632
"174",0.83027549261874
"175",0.799424779207836
"176",-0.766813796605217
"177",-0.916934348894223
"178",-0.939545115888378
"179",-0.919501877565938
"180",-0.737540121153577
"181",-0.808763717176308
"182",-0.766349715087751
"183",-0.015190658579531
"184",0.0186689432880076
"185",-0.0151123062176901
"186",-0.072476393634415
"187",0.0409185929438137
"188",0.159666872922338
"189",0.164731000845581
"190",-0.162364494080083
"191",0.200174940317975
"192",0.0835283576270254
"193",0.0802492405843008
"194",-0.0286536933575332
"195",0.052383068816264
"196",0.0888026271256925
"197",0.0335305237509215
"198",0.036939291384175
"199",0.0492723572603522
"200",-0.113625269936235
"201",-0.54822165976717
"202",-0.591225327146546
"203",-0.642655227166232
"204",-0.558632605228031
"205",-0.837828098220041
"206",-0.54822165976717
"207",-0.777465766425847
"208",-0.702589578546208
"209",0.132813314452206
"210",-0.0695394969837687
"211",0.0240420207662277
"212",0.05858262032553
"213",-0.0578901254381161
"214",-0.54822165976717
"215",-0.591225327146546
"216",-0.642655227166232
"217",-0.558632605228031
"218",-0.837828098220041
"219",-0.54822165976717
"220",-0.777465766425847
"221",-0.702589578546208
"222",0.132813314452206
"223",-0.0695394969837687
"224",0.0240420207662277
"225",0.05858262032553
"226",-0.0578901254381161
"227",-0.649417950650692
"228",-0.627762945785391
"229",-0.646943532929861
"230",-0.638701760021827
"231",-0.787591449073425
"232",-0.649417950650692
"233",-0.851143395900557
